2[um],2.25[um],2.5[um],2.75[um]
2.91504814859604,2.91645868015007,2.91748273805757,2.91825019733728
2.88457290369735,2.88626618734998,2.88749817170738,2.88842246215705
2.86214563271277,2.86413895671683,2.86559121595434,2.86668405840435
2.84488857863029,2.84720012358574,2.84888859999558,2.85015962213115
2.83112176618804,2.83376821877595,2.83570669204616,2.83716672360196
2.81980241970676,2.82280118468294,2.82499900742643,2.82665775047159
2.81024640755930,2.81360991381968,2.81608193640005,2.81794987671807
2.80199106435997,2.80573580958543,2.80849103616304,2.81057647816163
2.79471315404644,2.79885191098442,2.80190110826714,2.80421244954133
2.78818116320419,2.79272471991024,2.79607918647955,2.79862530789292
2.78222501815528,2.78718505206248,2.79085403975991,2.79364242511238
2.77671773351233,2.78210534070511,2.78609772725642,2.78913578241436
2.77156345383518,2.77738843407059,2.78171235361937,2.78500767640720
2.76668948001886,2.77296001429307,2.77762348299454,2.78118268706104
2.76203599821257,2.76876174578359,2.77377209088188,2.77760123299189
2.75756085007407,2.76474793772470,2.77011214881188,2.77421740482786
2.75322657204580,2.76088236234921,2.76660676374277,2.77099424299280
2.74900538759347,2.75713591359753,2.76322639352408,2.76790106921371
2.74487452878415,2.75348512401482,2.75994709754884,2.76491397530233
2.74081564122780,2.74991095505636,2.75674937396740,2.76201313415840
2.73681387212624,2.74639788463864,2.75361724687868,2.75918225107060
2.73285717002427,2.74293320644652,2.75053756530616,2.75640786245526
2.72893574170514,2.73950648643655,2.74749945939855,2.75367879183642
2.72504162705061,2.73610913735513,2.74449391467317,2.75098572388460
2.72116836337798,2.73273408278092,2.74151343581022,2.74832086802254
2.71731071830049,2.72937548973563,2.73855177904131,2.74567769064040
2.71346447553508,2.72602855428438,2.73560373755187,2.74305070033959
2.70962626196292,2.72268932842848,2.73266496819922,2.74043527450637
2.70579340708181,2.71935457942697,2.72973185068140,2.73782751834947
2.70196382807775,2.71602167477172,2.72680137238020,2.73522414962470
2.69813593529778,2.71268848759564,2.72387103365680,2.73262240382423
2.69430855407309,2.70935331846049,2.72093876954528,2.73001995577506
2.69048085972507,2.70601483035450,2.71800288467311,2.72741485447534
2.68665232326131,2.70267199440444,2.71506199891210,2.72480546867120
2.68282266578687,2.69932404432499,2.71211500178149,2.72219044119539
2.67899182005776,2.69597043802934,2.70916101402636,2.71956865049016
2.67515989791703,2.69261082513807,2.70619935510695,2.71693917804960
2.67132716260267,2.68924501936796,2.70322951557996,2.71430128076187
