2[um],2.3[um],2.5[um],2.8[um],3[um],4[um],5[um]
2.915037997,2.916684124,2.917479605,2.918378693,2.91883856820795,2.92021967505436,2.92087178546953
2.884560173,2.88653641,2.887493575,2.888576468,2.88913148791914,2.89080051755635,2.89159060874872
2.862126874,2.864455695,2.865585695,2.86686597,2.86752261770297,2.86950160885722,2.87044079092671
2.844864771,2.847567272,2.84888053,2.850370988,2.85113636652156,2.85344696706943,2.85454599483574
2.831092881,2.834189694,2.835696878,2.837409528,2.83829008524093,2.84095318074432,2.84222283741661
2.81976623,2.823275594,2.824986797,2.826933909,2.82793569537481,2.83097159147213,2.83242239221745
2.810201982,2.814142208,2.816066603,2.818259113,2.81938885464721,2.82281697156322,2.82445906165200
2.801937834,2.806325372,2.808472084,2.810920898,2.81218420713728,2.81602400871354,2.81786714749339
2.794649535,2.799500932,2.801878371,2.804593891,2.80599634722880,2.81026624592875,2.81232049827657
2.788105566,2.793435751,2.796051937,2.799044496,2.80059135399886,2.80530928264813,2.80758390823798
2.782136077,2.787959244,2.790822354,2.794100676,2.79579716499649,2.80098064774733,2.80348510668737
2.776614186,2.782943437,2.786060191,2.789634059,2.79148506739235,2.79715080658637,2.79989414482597
2.771444174,2.778291518,2.78166928,2.785546581,2.78755735239373,2.79372124405511,2.79671240698522
2.766552083,2.773928763,2.777573721,2.781763053,2.78393797058490,2.79061606169101,2.79386316445341
2.761880364,2.769796982,2.773715226,2.77822435,2.78056762001534,2.78777490932425,2.79128704200479
2.757384076,2.7658501,2.770047438,2.77488379,2.77739967349369,2.78515087260252,2.78893589727674
2.753027646,2.762051969,2.766533587,2.77170407,2.77439665495164,2.78270581736871,2.78677186123040
2.748782614,2.7583732,2.76314409,2.768655262,2.77152836570200,2.78040910197385,2.78476398274332
2.744626168,2.754790185,2.75985495,2.765713023,2.76877027991881,2.77823589002171,2.78288704682156
2.74053991,2.751283749,2.756646641,2.762857455,2.76610232215623,2.77616525204638,2.78112030154575
2.736508949,2.747838235,2.753503164,2.760072196,2.76350795412754,2.77418036378416,2.77944654443633
2.732521198,2.744440808,2.750411347,2.757343716,2.76097347329264,2.77226705676641,2.77785142063733
2.728566831,2.741080906,2.747360298,2.754660773,2.75848746869493,2.77041346242173,2.77632287836243
2.724637857,2.737749818,2.744340983,2.752013987,2.75604039486540,2.76860958569220,2.77485074242300
2.720727787,2.73444035,2.741345886,2.749395505,2.75362423530199,2.76684696823852,2.77342637734739
2.716831364,2.731146549,2.738368745,2.746798732,2.75123223456674,2.76511842027665,2.77204266025272
2.712944353,2.727863501,2.735404336,2.744218117,2.74885868341973,2.76341780546482,2.77069279263420
2.709063363,2.724587146,2.732448298,2.741648977,2.74649874529060,2.76173986714179,2.76937159906298
2.705185708,2.721314145,2.729496995,2.739087362,2.74414831522172,2.76008008704984,2.76807439535260
2.701309297,2.718041762,2.726547399,2.736529931,2.74180390450565,2.75843456976490,2.76679712275851
2.697432531,2.714767771,2.723596997,2.733973866,2.73946254579424,2.75679994761060,2.76553625282446
2.693554231,2.711490374,2.720643711,2.731416787,2.73712171462354,2.75517330200021,2.76428870865945
2.689673573,2.708208141,2.717685832,2.728856692,2.73477926418299,2.75355209803406,2.76305179947311
2.685790029,2.704919953,2.71472197,2.726291896,2.73243337083108,2.75193412985460,2.76182316587132
