0.05[um],0.1[um],0.15[um],
2.91645279976194,2.91645868015007,2.91646895743488,
2.88625852021952,2.88626618734998,2.88627946614375,
2.86412805394792,2.86413895671683,2.86415544579187,
2.84718641804746,2.84720012358574,2.84722199980310,
2.83375262991240,2.83376821877595,2.83379541634096,
2.82278010781649,2.82280118468294,2.82283324147345,
2.81358549161641,2.81360991381968,2.81364873634529,
2.80570458647196,2.80573580958543,2.80578067655067,
2.79881409064866,2.79885191098442,2.79890576984335,
2.79268037615590,2.79272471991024,2.79278779141706,
2.78713308927754,2.78718505206248,2.78725830756955,
2.78204465759386,2.78210534070511,2.78219006270837,
2.77731819877695,2.77738843407059,2.77748480824675,
2.77287925125783,2.77296001429307,2.77306945567636,
2.76866960247805,2.76876174578359,2.76888554744626,
2.76464351810490,2.76474793772470,2.76488644154173,
2.76076458333391,2.76088236234921,2.76103749995687,
2.75700371110084,2.75713591359753,2.75730887521498,
2.75333740059591,2.75348512401482,2.75367712995938,
2.74974658132374,2.74991095505636,2.75012480293970,
2.74621570069736,2.74639788463864,2.74663326013850,
2.74273202338422,2.74293320644652,2.74319141210661,
2.73928508784502,2.73950648643655,2.73978884831551,
2.73586628088407,2.73610913735513,2.73641700330841,
2.73246850172104,2.73273408278092,2.73306882071970,
2.72908589462852,2.72937548973563,2.72973848586541,
2.72571363455678,2.72602855428438,2.72642121132543,
2.72234775404861,2.72268932842848,2.72311306382033,
2.71898500258107,2.71935457942697,2.71981082351892,
2.71562273155869,2.71602167477172,2.71651186900137,
2.71225879973812,2.71268848759564,2.71321408265729,
2.70889149503054,2.70935331846049,2.70991577246516,
2.70551946951225,2.70601483035450,2.70661560698354,
2.70214168514807,2.70267199440444,2.70331256105837,
2.69875736825035,2.69932404432499,2.70000587026937,
2.69536597109770,2.69597043802934,2.69669499253965,
2.69196713945031,2.69261082513807,2.69337957564524,
2.68856068494350,2.68924501936796,2.69005942960652,
2.68514656153507,2.68587297497616,2.68673450313689,
2.68172484533482,2.68249476658836,2.68340486347740,
2.67829571726742,2.67911057186196,2.68007067906840,
2.67485944811755,2.67572065653340,2.67673220460731,
2.67141638558553,2.67232536147769,2.67338976812073,
2.66796694304527,2.66892509147216,2.67004375974300,
2.66451158974881,2.66552030540856,2.66669462194505,
2.66105084226355,2.66211150773983,2.66334284100046,
2.65758525696371,2.65869924098288,2.65998893950952,
2.65411542342555,2.65528407912726,2.65663346983165,
2.65064195859999,2.65186662182318,2.65327700829948,
2.64716550165552,2.64844748924213,2.64992015010778,
2.64368669928145,2.64502731751937,2.64656350478676,
2.64020624227915,2.64160675470151,2.64320769218268,
2.63672480062497,2.63818645713336,2.63985333888021,
2.63324306130100,2.63476708622822,2.63650107501041,
2.62976171503518,2.63134930557326,2.63315153139621,
2.62628145366948,2.62793377832896,2.62980533699403,
2.62280296778411,2.62452116488672,2.62646311659585,
2.61932694454694,2.62111212075387,2.62312548876062,
2.61585406576151,2.61770729463930,2.61979306394829,
2.61238500609003,2.61430732671611,2.61646644283269,
2.60892043143107,2.61091284704084,2.61314621477273,
2.60546099743370,2.60752447411104,2.60983295642343,
2.60200734813219,2.60414281354502,2.60652723047071,
2.59856011468670,2.60076845686927,2.60322958447505,
2.59511991421718,2.59740198040065,2.59994054981116,
2.59168734871858,2.59404394421122,2.59666064069146,
2.58826300404664,2.59069489116513,2.59339035326259,
2.58484744896428,2.58735534601737,2.59013016476478,
2.58144123423934,2.58402581456524,2.58688053274499,
2.57804489178499,2.58070678284384,2.58364189431510,
2.57465893383487,2.57739871635778,2.58041466544745,
2.57128385214534,2.57410205934147,2.57719924030039,
2.56792011721787,2.57081723404151,2.57399599056725,
2.56456817753522,2.56754464001460,2.57080526484293,
2.56122845880549,2.56428465343587,2.56762738800276,
2.55790136320893,2.56103762641237,2.56446266058929,
2.55458726864299,2.55780388629796,2.56131135820322,
2.55128652796184,2.55458373500622,2.55817373089578,
2.54799946820751,2.55137744831906,2.55505000256064,
2.54472638983050,2.54818527518973,2.55194037032439,
2.54146756589921,2.54500743703991,2.54884500393564,
2.53822324129839,2.54184412705164,2.54576404515397,
2.53499363191849,2.53869550945595,2.54269760714066,
2.53177892383855,2.53556171882130,2.53964577385441,
2.52857927845854,2.53244285934584,2.53660859945615,
2.52539480825105,2.52933900415859,2.53358610772777,
2.52222561056248,2.52625019463577,2.53057829151048,
2.51907174408947,2.52317643973907,2.52758511216927,
2.51593323371764,2.52011771538348,2.52460649909006,
2.51281006978863,2.51707396384274,2.52164234921676,
2.50970220741021,2.51404509320087,2.51869252663539,
2.50660956581869,2.51103097685796,2.51575686221211,
2.50353202780381,2.50803145309859,2.51283515329203,
2.50046942936195,2.50504632473048,2.50992716346464,
2.49742159818074,2.50207535880037,2.50703262240115,
2.49438829563870,2.49911828639304,2.50415122576790,
2.49136925454528,2.49617480251838,2.50128263521881,
2.48836416962124,2.49324456608977,2.49842647846846,
2.48537269746280,2.49032719999550,2.49558234944589,
2.48239445661170,2.48742229126338,2.49274980852772,
2.47942902773089,2.48452939131675,2.48992838284739,
2.47647595388398,2.48164801631827,2.48711756667599,
2.47353474091399,2.47877764759609,2.48431682186827,
2.47060485791538,2.47591773214534,2.48152557836614,
2.46768573779108,2.47306768319586,2.47874323475044,
2.46477677788458,2.47022688083602,2.47596915883072,
2.46187734067533,2.46739467268075,2.47320268826127,
2.45898675452436,2.46457037457093,2.47044313117122,
2.45610431445577,2.46175327129018,2.46768976679533,
2.45322928295861,2.45894261728438,2.46494184609172,
2.45036089079311,2.45613763736877,2.46219859233242,
