2[um],2.25[um],2.5[um],
-6.020215823375931E-4i,-3.1997676381531707E-4i,-1.826001661095648E-4i,
-6.686544816069185E-4i,-3.5902867713577E-4i,-2.0609389638464847E-4i,
-7.404827386404727E-4i,-4.0167635479254003E-4i,-2.3196531825947812E-4i,
-8.176984615982765E-4i,-4.481201520519378E-4i,-2.603783831734669E-4i,
-9.004864397897765E-4i,-4.985603947106875E-4i,-2.9150102294065583E-4i,
-9.890237575032503E-4i,-5.531966808560873E-4i,-3.255047121960275E-4i,
-0.0010834795254835129i,-6.122272219915492E-4i,-3.6256401853966086E-4i,
-0.0011840147272036319i,-6.758482322532956E-4i,-4.028561467628922E-4i,
-0.001290782175433901i,-7.442533734353911E-4i,-4.465604837895017E-4i,
-0.0014039265732104563i,-8.176332624473763E-4i,-4.938581509629662E-4i,
-0.0015235846722913436i,-8.961750466955201E-4i,-5.449315703322531E-4i,
