% Model,hex structure V4 - GeAsS.mph
% Version,COMSOL 6.3.0.290
% Date,"May 31 2026, 12:13"
% Table,Table 1 - Global Evaluation 1
% wl,hang (m),r (m),Effective mode index (1),real(ewfd.neff) (1),Aeff (m^2)
3.1,2.0E-7,2.0E-6,2.5446191956172126-0.053343132818774626i,2.5446191956172126,7.692859941567241E-11
3.1,2.0E-7,2.0E-6,2.5446192243823242-0.05334315297049737i,2.5446192243823242,7.692937060209669E-11
3.1,2.0E-7,2.0E-6,2.554238266754441-0.051291518401239855i,2.554238266754441,6.809437669532562E-11
3.1,2.0E-7,2.0E-6,2.5548425606825016-0.05181993733981642i,2.5548425606825016,6.718587846021054E-11
3.1,2.0E-7,2.0E-6,2.563633315775145-0.04992365457025196i,2.563633315775145,7.497508655158417E-11
3.1,2.0E-7,2.0E-6,2.563633325728563-0.04992367139879689i,2.563633325728563,7.497515950630703E-11
3.1,2.0E-7,2.0E-6,2.5719079720401314-0.048427930850925796i,2.5719079720401314,6.849273799954578E-11
3.1,2.0E-7,2.0E-6,2.571907992353167-0.048427949846007616i,2.571907992353167,6.849302761598497E-11
3.1,2.0E-7,2.0E-6,2.578915213587149-0.13891513445110365i,2.578915213587149,6.98391544728914E-11
3.1,2.0E-7,2.0E-6,2.5790812677373225-0.04682706290174749i,2.5790812677373225,6.803277773983991E-11
3.1,2.0E-7,2.0E-6,2.579507819623938-0.13974562012135044i,2.579507819623938,6.852201176714066E-11
3.1,2.0E-7,2.0E-6,2.5796575904306094-0.047373941167743856i,2.5796575904306094,6.704491444727959E-11
3.1,2.0E-7,2.0E-6,2.583853314331511-0.13860365393888124i,2.583853314331511,6.989623832606207E-11
3.1,2.0E-7,2.0E-6,2.5838540205003557-0.13860558853544325i,2.5838540205003557,6.989782846738757E-11
3.1,2.0E-7,2.0E-6,2.5860271163295914-0.04591931910264988i,2.5860271163295914,6.701652858782688E-11
3.1,2.0E-7,2.0E-6,2.5860271864872457-0.04591940120003244i,2.5860271864872457,6.701639495105208E-11
3.1,2.0E-7,2.0E-6,2.5876684748847727-0.13796517311366813i,2.5876684748847727,6.975104288458322E-11
3.1,2.0E-7,2.0E-6,2.5876692858813484-0.137967151989541i,2.5876692858813484,6.975302965952172E-11
