2[um],3[um],4[um],5[um]
2.91537838749372,2.91894469741390,2.92026564560198,2.92089573561732
2.88502773447487,2.88927823985311,2.89086437820476,2.89162391560885
2.86274424521517,2.86771757104979,2.86958680850414,2.87048528330277
2.84565602979750,2.85138748176179,2.85355697014483,2.85460361187265
2.83208305192994,2.83860588489155,2.84109181252605,2.84229563312636
2.82098109004380,2.82832517675229,2.83114315606340,2.83251254780556
2.81166867677368,2.81986108247915,2.82302568613052,2.82456888176449
2.80368402337732,2.81274910708967,2.81627407348344,2.81799918815598
2.79670485346531,2.80666411721298,2.81056268580693,2.81247714164136
2.79049991828649,2.80137255964080,2.80565691004439,2.80776803259721
2.78490020500239,2.79670282310882,2.80138456529677,2.80369923953082
2.77977970009593,2.79252649653154,2.79761631205318,2.80014132194412
2.77504302887172,2.78874589095824,2.79425385037894,2.79699558766816
2.77061703917683,2.78528562040422,2.79122110103068,2.79418567299204
2.76644497684793,2.78208677451240,2.78845847870586,2.79165171452731
2.76248237345091,2.77910280368463,2.78591877652536,2.78934635733370
2.75869409087251,2.77629656127396,2.78356420758670,2.78723129427142
2.75505216321593,2.77363814329811,2.78136424406115,2.78527586825092
2.75153419809767,2.77110328776815,2.77929401593565,2.78345495481008
2.74812217680472,2.76867217308063,2.77733310885114,2.78174789056469
2.74480154303375,2.76632850518097,2.77546465074646,2.78013755967229
2.74156050322802,2.76405881649849,2.77367461030792,2.77860969210886
2.73838948397272,2.76185192209766,2.77195125266848,2.77715231920290
2.73528070728560,2.75969849386705,2.77028471317642,2.77575534724695
2.73222785532920,2.75759072425695,2.76866666074319,2.77441022069636
2.72922580360458,2.75552205861117,2.76709002981385,2.77310965399853
2.72627040706123,2.75348698051421,2.76554880538000,2.77184741647240
2.72335832743956,2.75148083845709,2.76403784933644,2.77061815853926
2.72048689299361,2.74949970495780,2.76255275931595,2.76941727043900
2.71765398383001,2.74754026136099,2.76108975322524,2.76824076665462
2.71485793765248,2.74559970309583,2.75964557425952,2.76708519082209
2.71209747186723,2.74367566133808,2.75821741234009,2.76594753706996
2.70937161888765,2.74176613790599,2.75680283880344,2.76482518461654
2.70667967214924,2.73986945089398,2.75539975184430,2.76371584312720
2.70402114086316,2.73798418906626,2.75400633073370,2.76261750685216
2.70139571193556,2.73610917343370,2.75262099723423,2.76152841596698
2.69880321779077,2.73424342475015,2.75124238294751,2.76044702385005
2.69624360907845,2.73238613590905,2.74986930157389,2.75937196927714
2.69371693143470,2.73053664841482,2.74850072525795,2.75830205270578
2.69122330561699,2.72869443225658,2.74713576434675,2.75723621597631
2.68876291045023,2.72685906863401,2.74577365000986,2.75617352487821
2.68633596811521,2.72503023508279,2.74441371926876,2.75511315412874
2.68394273138475,2.72320769262616,2.74305540206152,2.75405437438970
2.68158347247304,2.72139127464236,2.74169821003312,2.75299654101213
2.67925847321235,2.71958087718963,2.74034172679339,2.75193908425079
2.67696801631237,2.71777645057222,2.73898559942689,2.75088150073258
2.67471237749257,2.71597799196554,2.73762953107403,2.74982334599790
2.67249181831022,2.71418553894647,2.73627327443105,2.74876422796271
2.67030657953647,2.71239916379838,2.73491662604000,2.74770380117247
2.66815687496279,2.71061896847938,2.73355942125976,2.74664176173904
2.66604288554934,2.70884508015846,2.73220152982495,2.74557784286777
2.66396475385755,2.70707764723764,2.73084285191346,2.74451181089584
2.66192257873947,2.70531683578921,2.72948331465458,2.74344346177411
2.65991641028705,2.70356282634709,2.72812286901946,2.74237261793469
2.65794624507358,2.70181581099919,2.72676148704412,2.74129912549426
2.65601202174596,2.70007599073511,2.72539915934367,2.74022285175023
2.65411361704854,2.69834357300954,2.72403589288649,2.73914368293261
2.65225084237571,2.69661876948736,2.72267170817822,2.73806152217946
2.65042344095886,2.69490179394157,2.72130664032372,2.73697628770788
2.64863107875477,2.69319286027984,2.71994073305075,2.73588791115652
2.64687337157502,2.69149218067941,2.71857404019948,2.73479633607819
2.64514984191118,2.68979996381459,2.71720662344768,2.73370151656431
2.64345994837388,2.68811641316435,2.71583855103341,2.73260341598508
2.64180308009844,2.68644172539132,2.71446989655659,2.73150200583123
2.64017855938402,2.68477608878658,2.71310073785624,2.73039726464502
2.63858564527157,2.68311968177771,2.71173115595617,2.72928917702988
2.63702353797927,2.68147267150027,2.71036123407109,2.72817773272907
2.63549138408455,2.67983521243532,2.70899105666594,2.72706292576525
2.63398828231786,2.67820744511755,2.70762070856213,2.72594475363376
2.63251328981738,2.67658949492038,2.70625027408555,2.72482321654327
2.63106542868597,2.67498147092564,2.70487983625225,2.72369831669847
