1,2.915048149,2.91504814859604,6.69865467854206E-12
1.1,2.884572904,2.88457290369735,6.77954760834336E-12
1.2,2.862145633,2.86214563271277,6.86166746010081E-12
1.3,2.844888579,2.84488857863029,6.93639459649256E-12
1.4,2.831121766,2.83112176618804,7.01297830549129E-12
1.5,2.81980242,2.81980241970676,7.09184798623238E-12
1.6,2.810246408,2.81024640755930,7.17377291362382E-12
1.7,2.801991064,2.80199106435997,7.25649478276819E-12
1.8,2.794713154,2.79471315404644,7.34040968117474E-12
1.9,2.788181163,2.78818116320419,7.42623172198161E-12
2,2.782225018,2.78222501815528,7.51402174178827E-12
2.1,2.776717734,2.77671773351233,7.60195463330231E-12
2.2,2.771563454,2.77156345383518,7.69205265649386E-12
2.3,2.76668948,2.76668948001886,7.78356549576272E-12
2.4,2.762035998,2.76203599821257,7.87631631345207E-12
2.5,2.75756085,2.75756085007407,7.97094622416366E-12
2.6,2.753226572,2.75322657204580,8.06708271291123E-12
2.7,2.749005388,2.74900538759347,8.16489079879074E-12
2.8,2.744874529,2.74487452878415,8.26441800944219E-12
2.9,2.740815641,2.74081564122780,8.36571341233280E-12
3,2.736813872,2.73681387212624,8.46882738563794E-12
3.1,2.73285717,2.73285717002427,8.57381147171265E-12
3.2,2.728935742,2.72893574170514,8.68071828921557E-12
3.3,2.725041627,2.72504162705061,8.78960148680313E-12
3.4,2.721168363,2.72116836337798,8.90051572619001E-12
3.5,2.717310718,2.71731071830049,9.01351668585728E-12
3.6,2.713464476,2.71346447553508,9.12866107917538E-12
3.7,2.709626262,2.70962626196292,9.24600668248969E-12
3.8,2.705793407,2.70579340708181,9.36561236999199E-12
3.9,2.7019638280777554-1.1578615918588548E-15i,2.70196382807775,9.48753815311523E-12
4,2.6981359352977865-3.9695379509937066E-15i,2.69813593529778,9.61184522283068E-12
4.1,2.694308554073096-1.0099840280637868E-14i,2.69430855407309,9.73859599368944E-12
4.2,2.6904808597250756-2.632756660341699E-14i,2.69048085972507,9.86785414873039E-12
4.3,2.686652323261312-6.493979144168498E-14i,2.68665232326131,9.99968468453463E-12
4.4,2.682822665786873-1.5352804804138912E-13i,2.68282266578687,1.01341539556412E-11
4.5,2.678991820057767-3.512190224685089E-13i,2.67899182005776,1.02713297171747E-11
4.6,2.6751598979170383-7.770755917564819E-13i,2.67515989791703,1.04112811637235E-11
4.7,2.671327162602677-1.6644288360508314E-12i,2.67132716260267,1.05540789644119E-11
4.8,2.667494005125447-3.460742667499064E-12i,2.66749400512544,1.06997953575659E-11
4.9,2.6636609241601144-6.995490533015056E-12i,2.66366092416011,1.08485057681251E-11
5,2.659828509597434-1.376804686107717E-11i,2.65982850959743,1.10003252023278E-11
5.1,2.6559974112036837-2.6422571948520433E-11i,2.65599741120368,1.11552047960573E-11
5.2,2.652168374774176-4.9508138954477237E-11i,2.65216837477417,1.13133518321154E-11
5.3,2.6483421652024624-9.068079632790257E-11i,2.64834216520246,1.14748046362700E-11
5.4,2.6445195988838086-1.6255348330956733E-10i,2.64451959888380,1.16396441216601E-11
5.5,2.640701523529122-2.8548180659428946E-10i,2.64070152352912,1.18079549438083E-11
5.6,2.6368888108652295-4.916929937937128E-10i,2.63688881086522,1.19798234397085E-11
5.7,2.633082349965268-8.312760113912842E-10i,2.63308234996526,1.21553377949161E-11
5.8,2.629283041313177-1.380725590387044E-9i,2.62928304131317,1.23345881383327E-11
5.9,2.6254917915343112-2.2549236259261133E-9i,2.62549179153431,1.25176666006940E-11
6,2.621709508711348-3.6236557884692637E-9i,2.62170950871134,1.27046673612181E-11
6.1,2.617937098212065-5.734038278346572E-9i,2.61793709821206,1.28956866901250E-11
6.2,2.6141754589652972-8.940488700882689E-9i,2.61417545896529,1.30908229897787E-11
6.3,2.6104254801301714-1.3744212434614869E-8i,2.61042548013017,1.32901768357822E-11
6.4,2.6066880381113973-2.0844470675375512E-8i,2.60668803811139,1.34938510190286E-11
6.5,2.602963993879724-3.120424164781478E-8i,2.60296399387972,1.37019505897535E-11
6.6,2.5992541905621014-4.613318434920444E-8i,2.59925419056210,1.39145829048551E-11
6.7,2.5955594512705065-6.739109550240647E-8i,2.59555945127050,1.41318576800474E-11
6.8,2.5918805771420814-9.731528668660492E-8i,2.59188057714208,1.43538870487862E-11
6.9,2.5882183455662635-1.3897543152546318E-7i,2.58821834556626,1.45807856303153E-11
7,2.584573508577031-1.963595113071324E-7i,2.58457350857703,1.48126706096408E-11
7.1,2.5809467913905104-2.745943676797626E-7i,2.58094679139051,1.50496618326866E-11
7.2,2.5773388910697257-3.8020417490301037E-7i,2.57733889106972,1.52918819203693E-11
7.3,2.5737504752997715-5.214097071818473E-7i,2.57375047529977,1.55394564057646E-11
7.4,2.5701821812577377-7.084706915435043E-7i,2.57018218125773,1.57925138989360E-11
7.5,2.56663461456284-9.54072730396135E-7i,2.56663461456284,1.60511862843361E-11
7.6,2.5631083482930728-1.2737592780657457E-6i,2.56310834829307,1.63156089559312E-11
7.7,2.5596039220556634-1.6864079408804514E-6i,2.55960392205566,1.65859210952995E-11
7.8,2.556121841099597-2.214748975972861E-6i,2.55612184109959,1.68622659979428E-11
7.9,2.552662575459483-2.885922308846305E-6i,2.55266257545948,1.71447914528054E-11
8,2.5492265591213354-3.7320677369720606E-6i,2.54922655912133,1.74336501796633E-11
