2[um],2.25[um],2.5[um],2.75[um]
2.91503831351097,2.91645279976194,2.91747960494029,2.91824830640439
2.88456031055468,2.88625852021952,2.88749357465242,2.88841935432334
2.86212714518751,2.86412805394792,2.86558569533838,2.86668022039052
2.84486461936724,2.84718641804746,2.84888053024895,2.85015457534220
2.83109296086625,2.83375262991240,2.83569687831970,2.83716014701752
2.81976604095496,2.82278010781649,2.82498679715297,2.82665083408496
2.81020205473315,2.81358549161641,2.81606660325961,2.81793980671801
2.80193800522918,2.80570458647196,2.80847208352685,2.81056420613463
2.79464951753775,2.79881409064866,2.80187837137962,2.80419818541132
2.78810564240347,2.79268037615590,2.79605193745540,2.79860848852854
2.78213609738255,2.78713308927754,2.79082235431542,2.79362220362034
2.77661434028195,2.78204465759386,2.78606019126877,2.78911231400879
2.77144421422803,2.77731819877695,2.78166928011230,2.78498006722709
2.76655205069728,2.77287925125783,2.77757372062291,2.78115057219690
2.76188016419881,2.76866960247805,2.77371522608993,2.77756476103819
2.75738420473241,2.76464351810490,2.77004743809860,2.77417589118652
2.75302775896050,2.76076458333391,2.76653358717385,2.77094682658763
2.74878271232870,2.75700371110084,2.76314409032628,2.76784764856148
2.74462625205634,2.75333740059591,2.75985495008818,2.76485406681803
2.74053998176601,2.74974658132374,2.75664664102943,2.76194623689264
2.73650900959547,2.74621570069736,2.75350316442041,2.75910784710701
2.73252124800537,2.74273202338422,2.75041134723539,2.75632541732890
2.72856687072534,2.73928508784502,2.74736029837829,2.75358775497143
2.72463788765978,2.73586628088407,2.74434098294891,2.75088552904946
2.72072780926568,2.73246850172104,2.74134588605810,2.74821093380159
2.71683137944962,2.72908589462852,2.73836874523550,2.74555742092014
2.71294436140799,2.72571363455678,2.73540433584947,2.74291945721329
2.70906336471619,2.72234775404861,2.73244829784134,2.74029246081189
2.70518570480588,2.71898500258107,2.72949699490892,2.73767249684279
2.70130928805772,2.71562273155869,2.72654739936315,2.73505627044752
2.69743251729172,2.71225879973812,2.72359699743616,2.73244100504612
2.69355421360407,2.70889149503054,2.72064371098603,2.72982436394411
2.68967355138311,2.70551946951225,2.71768583242773,2.72720438517671
2.68579000401116,2.70214168514807,2.71472197039336,2.72457942709279
2.68190329827731,2.69875736825035,2.71175100414375,2.72194812270013
2.67801337592731,2.69536597109770,2.70877204515449,2.71930934119420
2.67412036108931,2.69196713945031,2.70578440461199,2.71666215540603
2.67022453255941,2.68856068494350,2.70278756580078,2.71400581414925
2.66632630012413,2.68514656153507,2.69978116055619,2.71133971864049
2.66242618425046,2.68172484533482,2.69676494911028,2.70866340232015
2.65852479859612,2.67829571726742,2.69373880278114,2.70597651352338
2.65462283489122,2.67485944811755,2.69070268905368,2.70327880054900
2.65072104982089,2.67141638558553,2.68765665867935,2.70057009875314
2.64682025360280,2.66796694304527,2.68460083448574,2.69785031935841
2.64292130000524,2.66451158974881,2.68153540163939,2.69511943972137
2.63902507759382,2.66105084226355,2.67846059914750,2.69237749484354
2.63513250202976,2.65758525696371,2.67537671241879,2.68962456994610
2.63124450927115,2.65411542342555,2.67228406673287,2.68686079395689
2.62736204955225,2.65064195859999,2.66918302149063,2.68408633378219
2.62348608203547,2.64716550165552,2.66607396513824,2.68130138925529
2.61961757004681,2.64368669928145,2.66295731067340,2.67850618867025
2.61575747681909,2.64020624227915,2.65983349165609,2.67570098482285
2.61190676167858,2.63672480062497,2.65670295865785,2.67288605149212
2.60806637661986,2.63324306130100,2.65356617609255,2.67006168030554
2.60423726322191,2.62976171503518,2.65042361938041,2.66722817793901
2.60042034986445,2.62628145366948,2.64727577240324,2.66438586360950
2.59661654920948,2.62280296778411,2.64412312521503,2.66153506682414
2.59282675591705,2.61932694454694,2.64096617197665,2.65867612535427
2.58905184456827,2.61585406576151,2.63780540908761,2.65580938340745
2.58529266777145,2.61238500609003,2.63464133349163,2.65293518997358
2.58155005442971,2.60892043143107,2.63147444113520,2.65005389732457
2.57782480815057,2.60546099743370,2.62830522556147,2.64716585964970
2.57411770577944,2.60200734813219,2.62513417662347,2.64427143181062
2.57042949604029,2.59856011468670,2.62196177930294,2.64137096820229
2.56676089826807,2.59511991421718,2.61878851262222,2.63846482170752
2.56311260121789,2.59168734871858,2.61561484863827,2.63555334273420
2.55948526193736,2.58826300404664,2.61244125150894,2.63263687832566
2.55587950468876,2.58484744896428,2.60926817662244,2.62971577133543
2.55229591990893,2.58144123423934,2.60609606978205,2.62679035965866
2.54873506319550,2.57804489178499,2.60292536643853,2.62386097551319
2.54519745430922,2.57465893383487,2.59975649096350,2.62092794476402
2.54168357618333,2.57128385214534,2.59658985595746,2.61799158628522
2.53819387393267,2.56792011721787,2.59342586158659,2.61505221135413
2.53472875385666,2.56456817753522,2.59026489494302,2.61211012307295
2.53128858243259,2.56122845880549,2.58710732942334,2.60916561581314
2.52787368529771,2.55790136320893,2.58395352412095,2.60621897467860
2.52448434622134,2.55458726864299,2.58080382322756,2.60327047498354
2.52112080607067,2.55128652796184,2.57765855544021,2.60032038174169
2.51778326177693,2.54799946820751,2.57451803336992,2.59736894916329
2.51447186531130,2.54472638983050,2.57138255294891,2.59441642015679
2.51118672268282,2.54146756589921,2.56825239283348,2.59146302583241
2.50792789297301,2.53822324129839,2.56512781380009,2.58850898500487
2.50469538742445,2.53499363191849,2.56200905813280,2.58555450369284
2.50148916860220,2.53177892383855,2.55889634900050,2.58259977461281
2.49830914964858,2.52857927845854,2.55578988982303,2.57964497666561
2.49515519365238,2.52539480825105,2.55268986362573,2.57669027441359
2.49202711315382,2.52222561056248,2.54959643238255,2.57373581754711
2.48892466980575,2.51907174408947,2.54650973634839,2.57078174033905
2.48584757421006,2.51593323371764,2.54342989338186,2.56782816108629
2.48279548594634,2.51281006978863,2.54035699826043,2.56487518153751
2.47976801380638,2.50970220741021,2.53729112198986,2.56192288630669
2.47676471624499,2.50660956581869,2.53423231111111,2.55897134227221
2.47378510205306,2.50353202780381,2.53118058700760,2.55602059796133
2.47082863125472,2.50046942936195,2.52813594521645,2.55307068292052
2.46789471622539,2.49742159818074,2.52509835474760,2.55012160707178
2.46498272302298,2.49438829563870,2.52206775741454,2.54717336005573
2.46209197291981,2.49136925454528,2.51904406718101,2.54422591056201
2.45922174411866,2.48836416962124,2.51602716952736,2.54127920564798
2.45637127363225,2.48537269746280,2.51301692084060,2.53833317004644
2.45353975930238,2.48239445661170,2.51001314783157,2.53538770546323
2.45072636193243,2.47942902773089,2.50701564698240,2.53244268986558
2.44793020750469,2.47647595388398,2.50402418402662,2.52949797676183
2.44515038945326,2.47353474091399,2.50103849346403,2.52655339447299
2.44238597096248,2.47060485791538,2.49805827811119,2.52360874539630
2.43963598726147,2.46768573779108,2.49508320868773,2.52066380526070
2.43689944788601,2.46477677788458,2.49211292343777,2.51771832237360
2.43417533888051,2.46187734067533,2.48914702778438,2.51477201685788
2.43146262491491,2.45898675452436,2.48618509401417,2.51182457987740
2.42876025129313,2.45610431445577,2.48322666098779,2.50887567284873
2.42606714583273,2.45322928295861,2.48027123387085,2.50592492663596
2.42338222059727,2.45036089079311,2.47731828387878,2.50297194072457
