2[um],2.25[um],2.5[um],2.75[um]
2.91518539880593,2.91653631030047,2.91752988740495,2.91828008925445
2.88474942427331,2.88636591374883,2.88755824377212,2.88846042724533
2.86236646380262,2.86426291169106,2.86566730684131,2.86673189952405
2.84515595762590,2.84735373504667,2.84898193411867,2.85021847893370
2.83144603627690,2.83395448239433,2.83581979775364,2.83723947313195
2.82018717623681,2.82302275344416,2.82513406365881,2.82674378089754
2.81070346204594,2.81387291885840,2.81624047717420,2.81805242420445
2.80251829678008,2.80604629177338,2.80867922043697,2.81069625661417
2.79532660508852,2.79921079054777,2.80212143100461,2.80435053201716
2.78888577547556,2.79313648350146,2.79633339818014,2.79878422052188
2.78301477793600,2.78765189043360,2.79114049076797,2.79382530793829
2.77761172582083,2.78262604039236,2.78642384967336,2.78934457542699
2.77257216445457,2.77797799434467,2.78208202646449,2.78524391886103
2.76781905383268,2.77362290839135,2.77802669440291,2.78144822598789
2.76329529145097,2.76950083864518,2.77422654459681,2.77790119935200
2.75895564613851,2.76557025134347,2.77062496612789,2.77455093153115
2.75476734541340,2.76179596972148,2.76717597315178,2.77136375155239
2.75070068984188,2.75814394693763,2.76385567836620,2.76831015871175
2.74673299683503,2.75459321024616,2.76064021630559,2.76536599608308
2.74284598349332,2.75112480290487,2.75751015665048,2.76250992875955
2.73902485445933,2.74772327761299,2.75444273929744,2.75972649217816
2.73525760151425,2.74437599566052,2.75143864679724,2.75700227684368
2.73153446035703,2.74107258329661,2.74848014890090,2.75432615811549
2.72784748538374,2.73780450613331,2.74555828625808,2.75168887018227
2.72419021397673,2.73456473309250,2.74266561475508,2.74908266961111
2.72055739934837,2.73134746893852,2.73979593780896,2.74650106751263
2.71694479636132,2.72814793981637,2.73694409168744,2.74393861474085
2.71334898862987,2.72496222009699,2.73410577215536,2.74139072842799
2.70976724803988,2.72178709166512,2.73127739358185,2.73885355098828
2.70619741991425,2.71861992887361,2.72845597373107,2.73632383481304
2.70263782860513,2.71545860394304,2.72564541543834,2.73379884743438
2.69908719946142,2.71230140875264,2.72283090005753,2.73127629310185
2.69554459400394,2.70914698985214,2.72001715255782,2.72875424760013
2.69200935581476,2.70599429419909,2.71720280538046,2.72623110381047
2.68848106516561,2.70284252364382,2.71438675615959,2.72370552603681
2.68495950081166,2.69969109658628,2.71156812930119,2.72117641151880
2.68144460768918,2.69653961554121,2.70874624347760,2.71864285786701
2.67793646950113,2.69338783959346,2.70592058401838,2.71610413540036
2.67443528536763,2.69023566091869,2.70309077937195,2.71355966355971
2.67094134987190,2.68708308469813,2.70025658096541,2.71100899072468
2.66745503595434,2.68393021187833,2.69741784591291,2.70845177688335
2.66397678020528,2.68077722432497,2.69457452212065,2.70588777870250
2.66050707018611,2.67762437199893,2.69172663541575,2.70331683662533
2.65704643347206,2.67447196184646,2.68887427839031,2.70073886368709
2.65359542816178,2.67132034814760,2.68601760070376,2.69815383579180
2.65015463464130,2.66816992410910,2.68315680062935,2.69556178323493
2.64672464842444,2.66502111452323,2.68029211766510,2.69296278329240
2.64330607392013,2.66187436934198,2.67742382605858,2.69035695372445
2.63989951900079,2.65873015804033,2.67455222911803,2.68774444706695
2.63650559026510,2.65558896466133,2.67167765420254,2.68512544560203
2.63312488890452,2.65245128345225,2.66880044829980,2.68250015691658
2.62975800709653,2.64931761501457,2.66592097411384,2.67986880997055
2.62640552485832,2.64618846290190,2.66303960659652,2.67723165160845
2.62306800730427,2.64306433060920,2.66015672986588,2.67458894345719
2.61974600225779,2.63994571890499,2.65727273446292,2.67194095916122
2.61644003817528,2.63683312346456,2.65438801490463,2.66928798191296
2.61315062234439,2.63372703276792,2.65150296749722,2.66663030224212
2.60987823932430,2.63062792623122,2.64861798837816,2.66396821603247
2.60662334959866,2.62753627254384,2.64573347175982,2.66130202273886
2.60338638841562,2.62445252818733,2.64284980835082,2.65863202378051
2.60016776479177,2.62137713611463,2.63996738393442,2.65595852109010
2.59696786065924,2.61831052457104,2.63708657808564,2.65328181580022
2.59378703013727,2.61525310603987,2.63420776301086,2.65060220705140
2.59062559891128,2.61220527629789,2.63133130249576,2.64791999090756
2.58748386370399,2.60916741356697,2.62845755094872,2.64523545936632
2.58436209182490,2.60613987774978,2.62558685252835,2.64254889945327
2.58126052078545,2.60312300973841,2.62271954034499,2.63986059239013
2.57817935796897,2.60011713078581,2.61985593572680,2.63717081282810
2.57511878034536,2.59712254193116,2.61699634754217,2.63447982813828
2.57207893422220,2.59413952347067,2.61414107157093,2.63178789775210
2.56905993502508,2.59116833446665,2.61129038991740,2.62909527254517
2.56606186710134,2.58820921228798,2.60844457045901,2.62640219425865
2.56308478354308,2.58526237217650,2.60560386632482,2.62370889495283
