2[um],3[um],4[um],5[um]
2.91503799674469,2.91883856820795,2.92021967505436,2.92087178546953
2.88456017269952,2.88913148791914,2.89080051755635,2.89159060874872
2.86212687397424,2.86752261770297,2.86950160885722,2.87044079092671
2.84486477125668,2.85113636652156,2.85344696706943,2.85454599483574
2.83109288112418,2.83829008524093,2.84095318074432,2.84222283741661
2.81976623014667,2.82793569537481,2.83097159147213,2.83242239221745
2.81020198221664,2.81938885464721,2.82281697156322,2.82445906165200
2.80193783415998,2.81218420713728,2.81602400871354,2.81786714749339
2.79464953507225,2.80599634722880,2.81026624592875,2.81232049827657
2.78810556630083,2.80059135399886,2.80530928264813,2.80758390823798
2.78213607743986,2.79579716499649,2.80098064774733,2.80348510668737
2.77661418642390,2.79148506739235,2.79715080658637,2.79989414482597
2.77144417378678,2.78755735239373,2.79372124405511,2.79671240698522
2.76655208257628,2.78393797058490,2.79061606169101,2.79386316445341
2.76188036429938,2.78056762001534,2.78777490932425,2.79128704200479
2.75738407584199,2.77739967349369,2.78515087260252,2.78893589727674
2.75302764608911,2.77439665495164,2.78270581736871,2.78677186123040
2.74878261426387,2.77152836570200,2.78040910197385,2.78476398274332
2.74462616765872,2.76877027991881,2.77823589002171,2.78288704682156
2.74053990996659,2.76610232215623,2.77616525204638,2.78112030154575
2.73650894939261,2.76350795412754,2.77418036378416,2.77944654443633
2.73252119846163,2.76097347329264,2.77226705676641,2.77785142063733
2.72856683096433,2.75848746869493,2.77041346242173,2.77632287836243
2.72463785686302,2.75604039486540,2.76860958569220,2.77485074242300
2.72072778666952,2.75362423530199,2.76684696823852,2.77342637734739
2.71683136434228,2.75123223456674,2.76511842027665,2.77204266025272
2.71294435312662,2.74885868341973,2.76341780546482,2.77069279263420
2.70906336264408,2.74649874529060,2.76173986714179,2.76937159906298
2.70518570836977,2.74414831522172,2.76008008704984,2.76807439535260
2.70130929672517,2.74180390450565,2.75843456976490,2.76679712275851
2.69743253056869,2.73946254579424,2.75679994761060,2.76553625282446
2.69355423103254,2.73712171462354,2.75517330200021,2.76428870865945
2.68967357253889,2.73477926418299,2.75355209803406,2.76305179947311
2.68579002850180,2.73243337083108,2.75193412985460,2.76182316587132
2.68190332574018,2.73008248837864,2.75031747477935,2.76060073393253
2.67801340602778,2.72772530956177,2.74870045463367,2.75938267648638
2.67412039351908,2.72536073343936,2.74708160301754,2.75816738032892
2.67022456703495,2.72298783769549,2.74545963748637,2.75695341835422
2.66632633638527,2.72060585501996,2.74383343581858,2.75573952577524
2.66242622205895,2.71821415289430,2.74220201569688,2.75452457976062
2.65852483773440,2.71581221623238,2.74056451725207,2.75330758193612
2.65462287516118,2.71339963242330,2.73892018801647,2.75208764329803
2.65072109104267,2.71097607840304,2.73726836991326,2.75086397116438
2.64682029561359,2.70854130944545,2.73560848797187,2.74963585785428
2.64292134265815,2.70609514941510,2.73394004051157,2.74840267083734
2.63902512075669,2.70363748226704,2.73226259057804,2.74716384413803
2.63513254558403,2.70116824461331,2.73057575845240,2.74591887081414
2.63124455311069,2.69868741920475,2.72887921508094,2.74466729635777
2.62736209358224,2.69619502920024,2.72717267629736,2.74340871289046
2.62348612617131,2.69369113311527,2.72545589772921,2.74214275404403
2.61961761421302,2.69117582035802,2.72372867029627,2.74086909043497
2.61575752094836,2.68864920727472,2.72199081622249,2.73958742565378
2.61190680571077,2.68611143363760,2.72024218549451,2.73829749270223
2.60806642050117,2.68356265951823,2.71848265270920,2.73699905082099
2.60423730690405,2.68100306249723,2.71671211426111,2.73569188265834
2.60042039330396,2.67843283516814,2.71493048582717,2.73437579173727
2.59661659236707,2.67585218289892,2.71313770011204,2.73305060018431
2.59282679875705,2.67326132181971,2.71133370482238,2.73171614668828
2.58905188705816,2.67066047700936,2.70951846084238,2.73037228466117
2.58529270988143,2.66804988085710,2.70769194058679,2.72901888057734
2.58155009613238,2.66542977157853,2.70585412651020,2.72765581246975
2.57782484942060,2.66280039186793,2.70400500975466,2.72628296856518
2.57411774659333,2.66016198767096,2.70214458891929,2.72490024604203
2.57042953637623,2.65751480706379,2.70027286893800,2.72350754989678
2.56676093810571,2.65485909922652,2.69838986005286,2.72210479190643
2.56311264053826,2.65219511349982,2.69649557687205,2.72069188967606
2.55948530072274,2.64952309851541,2.69459003750288,2.71926876576162
2.55587948618711,2.64684330139152,2.69267326275102,2.71783534685921
2.55229590103368,2.64415596698600,2.69074527537843,2.71639156305331
2.54873504394300,2.64146133719987,2.68880609941307,2.71493734711672
2.54519743467824,2.63875965032544,2.68685575950413,2.71347263385626
